,tlast,hh,vv,ll,qlast,vlast,qq,vv,a,,,,
OUSD-USDT,1643871600,1.0065,67940546.73,0.9518,79307.66345,79915.9165,67782612.07,67940546.73,0.997675399,,,,
REVU-USDT,1643871600,0.2961,101462807.4,0.0808,79179.3099,711113.5047,19897041.85,101462807.4,0.196101826,,,,
NGL-USDT,1643871600,9.5,5272762.415,1.524,78964.41394,48194.72117,22616336.72,5272762.415,4.289276653,,,,
AI-USDT,1643871600,0.04827,1302219525,0.00961,77644.58389,7033416.41,28612797.66,1302219525,0.02197233,,,,
GMB-USDT,1643871600,0.00289,3723248493,0.001306,77359.11388,48213722.96,7130183.616,3723248493,0.001915044,,,,
BCH3L-USDT,1643871600,0.6722,58708067.67,0.0261,76103.58644,2226034.578,6546414.341,58708067.67,0.111507917,,,,
DPET-USDT,1643871600,2.0172,8986389.801,0.3413,75376.30954,160278.0254,8472439.54,8986389.801,0.942807927,,,,
UMA-USDT,1643871600,12.857,3143021.517,5.186,75185.76667,13422.52449,29550780.96,3143021.517,9.402029481,,,,
ZKT-USDT,1643871600,62.67,3696707.115,8.309,75085.16193,6426.249475,112815005.5,3696707.115,30.51770182,,,,
SWASH-USDT,1643871600,0.2857,129988389.3,0.04224,73450.34535,1668214.833,15320829.48,129988389.3,0.117863061,,,,
ZORT-USDT,1643871600,0.00981,2180497235,0.00302,72751.3648,16343170.02,15133212.36,2180497235,0.006940258,,,,
POWR-USDT,1643871600,0.7137,13068091,0.4584,72183.07376,132299.5285,7843540.343,13068091,0.600205519,,,,
SRK-USDT,1643871600,0.00457,15819575519,0.00094,71995.40783,51682076.8,37447906.66,15819575519,0.002367188,,,,
SWINGBY-USDT,1643871600,0.0701,240456312.4,0.0151,71373.57484,4444849.761,8013604.272,240456312.4,0.033326654,,,,
PUSH-USDT,1643871600,2.646,7511190.854,1.111,71221.91302,56527.63095,14029682.41,7511190.854,1.867837295,,,,
AXC-USDT,1643871600,9.2456,6115630.569,2.5681,71120.06921,8522.500361,31017931.32,6115630.569,5.071910569,,,,
RLC-USDT,1643871600,5.35,5778093.385,1.5222,70695.93396,37110.92187,18577671.35,5778093.385,3.215190569,,,,
BNS-USDT,1643871600,0.184849,34687271.1,0.04685,69586.50546,827171.6449,3566956.086,34687271.1,0.102831845,,,,
BOA-USDT,1643871600,0.35327,149534489.6,0.10469,69215.91884,535533.0518,33720097.18,149534489.6,0.225500467,,,,
C98-USDT,1643871600,3.22,6097334.323,1.3441,67244.20408,40805.02769,13689963.77,6097334.323,2.245237517,,,,
ZEN-USDT,1643871600,105.543,345039.7871,30.08,65871.46651,1700.870789,20940203.73,345039.7871,60.68924372,,,,
WXT-USDT,1643871600,0.00542,2029974018,0.003136,65441.56327,15676449.74,8417288.124,2029974018,0.0041465,,,,
MAHA-USDT,1643871600,10.2143,5818283.587,2.4976,65219.46965,19971.82526,32062445.92,5818283.587,5.510636504,,,,
AKRO-USDT,1643871600,0.0349373,602023795.5,0.0105891,65071.65971,4994153.737,12966668.08,602023795.5,0.021538464,,,,
LABS-USDT,1643871600,0.01014,1462038509,0.00299,64088.85932,16526296.01,8468317.474,1462038509,0.00579213,,,,
CTI-USDT,1643871600,0.07699,179661089.4,0.02501,61437.58643,2257771.199,9265599.36,179661089.4,0.051572655,,,,
CARD-USDT,1643871600,0.0132,1526473977,0.00348,61133.62472,16536267.22,12633503.02,1526473977,0.008276265,,,,
GLQ-USDT,1643871600,0.0618,566431909.7,0.01103,60808.60178,4307224.743,17674365.25,566431909.7,0.031202983,,,,
HT-USDT,1643871600,10.2537,1156700.218,6.9964,60805.8006,6559.101459,10965553.87,1156700.218,9.480030947,,,,
QUICK-USDT,1643871600,445,50162.29605,155.68,60681.21365,315.3425042,16366532.6,50162.29605,326.2716001,,,,
MAKI-USDT,1643871600,0.0957,180151237.9,0.0144,58371.9363,3033444.985,6051306.196,180151237.9,0.033590145,,,,
TRVL-USDT,1643871600,0.6985,19462727.51,0.1419,57876.76812,360307.5369,7199335.093,19462727.51,0.369903709,,,,
BOND-USDT,1643871600,26.29,308807.8091,9.28,57718.86313,5830.159873,5250691.447,308807.8091,17.0031045,,,,
KLAY-USDT,1643871600,1.5182,10103497.03,0.95,57159.99249,49546.19393,13447680.33,10103497.03,1.330992654,,,,
GLM-USDT,1643871600,0.6822,11099277.63,0.2742,56966.67917,162137.549,5100107.938,11099277.63,0.459499087,,,,
VEGA-USDT,1643871600,13.7927,895321.5895,5.8149,55183.87029,9283.277271,8712745.468,895321.5895,9.731414466,,,,
CFG-USDT,1643871600,1.4557,19341423.95,0.5751,54882.29836,91242.1413,16689834.87,19341423.95,0.862906212,,,,
ETHO-USDT,1643871600,0.093,115450329.4,0.0371,54516.54562,1236919.539,7688009.363,115450329.4,0.066591489,,,,
CARR-USDT,1643871600,0.0208,1170955293,0.0059,54148.65615,8406520.402,14526634,1170955293,0.012405797,,,,
UNB-USDT,1643871600,0.105,978987207.4,0.0056,53737.5729,6976743.958,32567669.53,978987207.4,0.033266696,,,,
POLX-USDT,1643871600,0.00107,24470448454,0.0003706,53000.61315,119796860.7,17827500.44,24470448454,0.000728532,,,,
UNFI-USDT,1643871600,11.993,1332397.188,4.322,52785.90345,10209.88618,9796556.593,1332397.188,7.352579758,,,,
UNI3L-USDT,1643871600,4.2643,12857441.97,0.0946,52523.51161,416452.1847,7391618.018,12857441.97,0.574890249,,,,
BURGER-USDT,1643871600,3.8496,1450431.111,1.4137,52495.95561,30211.96389,3552058.537,1450431.111,2.44896742,,,,
STND-USDT,1643871600,0.6866,20200045.76,0.1704,51492.94673,273203.1087,7803130.696,20200045.76,0.386292724,,,,
TRIBE-USDT,1643871600,1.2484,5760992.438,0.6608,51489.55602,75807.85126,5695587.555,5760992.438,0.988646942,,,,
SDN-USDT,1643871600,2.788,8363737.465,0.82,49468.07224,46560.38306,13366540.87,8363737.465,1.598154046,,,,
DVPN-USDT,1643871600,0.0224,1285347157,0.00763,49064.53361,6105825.331,15781213.65,1285347157,0.012277783,,,,
DATA-USDT,1643871600,0.1901,63648174.38,0.0628,48301.66243,634873.3557,7702458.086,63648174.38,0.121016167,,,,
FCL-USDT,1643871600,0.2756,37003550.84,0.0705,47319.72487,606137.0894,6157256.565,37003550.84,0.166396371,,,,
ARRR-USDT,1643871600,1.7024,9686203.305,0.6263,47303.59283,68848.49989,10796604.2,9686203.305,1.114637373,,,,
MLK-USDT,1643871600,2.05674,5468575.553,0.62792,47186.25012,56730.51537,6724825.915,5468575.553,1.22972168,,,,
TIDAL-USDT,1643871600,0.00634,3465344530,0.00119,46838.09302,32102874.88,9781482.536,3465344530,0.002822658,,,,
LACE-USDT,1643871600,0.999,31360224.12,0.114,45244.62184,319923.0954,10922128.03,31360224.12,0.348279655,,,,
MARSH-USDT,1643871600,1.0214,39101926.83,0.3432,45156.10994,107152.1582,23873611.14,39101926.83,0.610548203,,,,
NIM-USDT,1643871600,0.0068765,1595535891,0.0023689,45130.05736,14467213.92,6303080.545,1595535891,0.003950447,,,,
TRADE-USDT,1643871600,1.5803,8940566.145,0.3757,44616.90589,101878.2655,6892526.027,8940566.145,0.770927245,,,,
PCX-USDT,1643871600,3.018,2386408.143,1.193,44512.58054,27210.0022,4287215.877,2386408.143,1.7965141,,,,
RLY-USDT,1643871600,0.5181,26039284.25,0.1975,43755.17369,197139.6083,8710615.243,26039284.25,0.334518229,,,,
NKN-USDT,1643871600,0.5314,28241883.7,0.1683,42412.57507,198505.645,9694385.505,28241883.7,0.343262709,,,,
NFTB-USDT,1643871600,0.4286,74456760.3,0.1081,42410.24716,317301.3113,18676815.64,74456760.3,0.2508411,,,,
BMON-USDT,1643871600,0.2263,186087563,0.0463,41574.40349,779177.1632,22009761.48,186087563,0.11827637,,,,
TOWER-USDT,1643871600,0.10223,142176521.2,0.02461,41189.02983,1430800.67,8045070.058,142176521.2,0.056585082,,,,
ERSDL-USDT,1643871600,0.136,254764779.7,0.0156,40474.06144,1805729.866,12109975.38,254764779.7,0.047533946,,,,
POLK-USDT,1643871600,0.8506,28552239.14,0.2174,40017.97603,153164.6853,13008717.93,28552239.14,0.45561113,,,,
SOLR-USDT,1643871600,4.4049,10207881.64,0.6186,39646.34161,60856.49645,18691661.18,10207881.64,1.831100892,,,,
CTC-USDT,1643871600,2.059,1843531.647,0.994,39304.74497,31024.46826,3385623.428,1843531.647,1.836487827,,,,
KMD-USDT,1643871600,1.2069,7163579.254,0.4491,38735.73044,81217.35532,5795278.502,7163579.254,0.808992027,,,,
GAFI-USDT,1643871600,169.428,40754.04791,55.1,38199.78738,662.264085,4706968.485,40754.04791,115.4969562,,,,
SOLVE-USDT,1643871600,0.16739,200851834.1,0.0685,37925.22554,459270.435,25522170.53,200851834.1,0.127069641,,,,
PUNDIX-USDT,1643871600,1.397,5308153.042,0.641,37905.39799,48517.90371,5329636.795,5308153.042,1.004047312,,,,
GGG-USDT,1643871600,6.6447,1480824.9,1.4249,37651.68089,25336.79314,5509679.44,1480824.9,3.720682602,,,,
FORM-USDT,1643871600,0.087025,127905237.4,0.029304,37547.797,1245855.727,7209911.933,127905237.4,0.056369169,,,,
GENS-USDT,1643871600,0.133,116824402.1,0.02236,36275.47065,1201785.912,10092453.7,116824402.1,0.086389945,,,,
BOLT-USDT,1643871600,0.00887,1754557032,0.00401,36051.71765,8409695.531,11178237.06,1754557032,0.006370974,,,,
NMR-USDT,1643871600,44.163,126620.0528,18.922,35774.42011,1523.848619,3806317.823,126620.0528,30.06094011,,,,
BUY-USDT,1643871600,0.0373,497905279.7,0.0105,35471.413,2393214.232,11550913.38,497905279.7,0.023199018,,,,
BONDLY-USDT,1643871600,0.1799,82127643.42,0.05,34542.46556,605800.4989,7532316.862,82127643.42,0.091714757,,,,
LAYER-USDT,1643871600,0.5555,23461055.12,0.1317,34452.28246,192730.7284,7140840.289,23461055.12,0.304369955,,,,
VEED-USDT,1643871600,0.0085,2328647868,0.00213,33352.95683,9761312.55,11805575.35,2328647868,0.005069713,,,,
GRIN-USDT,1643871600,0.59584,8819429.232,0.180014,33218.64697,154257.5291,3118599.48,8819429.232,0.35360559,,,,
OM-USDT,1643871600,0.2822,79005911.46,0.077,32472.36548,343343.8063,12294476.55,79005911.46,0.155614641,,,,
AERGO-USDT,1643871600,0.4361,15827526.52,0.1446,32429.44688,167370.2867,3875646.596,15827526.52,0.244867484,,,,
PNT-USDT,1643871600,1.3136,13853986,0.5332,32241.66575,53726.9938,13229657.01,13853986,0.954935064,,,,
XED-USDT,1643871600,0.7484,22503248.43,0.2606,32059.94289,107744.0806,10697455.34,22503248.43,0.475373827,,,,
HAPI-USDT,1643871600,53.7361,252838.3845,23.7,31868.81578,1265.656614,8710374.095,252838.3845,34.45036287,,,,
EDG-USDT,1643871600,0.012466,916596866.3,0.003759,31591.26094,6678781.852,6910376.786,916596866.3,0.007539167,,,,
HEGIC-USDT,1643871600,0.1135,39215451.45,0.037,30897.15427,726331.7471,2869971.734,39215451.45,0.073184717,,,,
BNT-USDT,1643871600,4.1013,743743.4797,2.0801,30385.64293,12639.39108,2372978.645,743743.4797,3.190587493,,,,
LON-USDT,1643871600,1.881,16166875.35,0.975,29266.53112,29232.40047,22076452.85,16166875.35,1.365536158,,,,
REVV-USDT,1643871600,0.282702,53363902.85,0.077001,29062.46213,278338.8223,8754987.281,53363902.85,0.164061975,,,,
GEEQ-USDT,1643871600,1.864,19418139.2,0.4,28302.40297,51684.71395,21419615.51,19418139.2,1.103072509,,,,
SPI-USDT,1643871600,39.27,336495.0571,9.358,28011.25632,2632.110197,6961150.865,336495.0571,20.68723067,,,,
SHFT-USDT,1643871600,0.7109,10801720.47,0.3511,27819.41822,57145.91356,5788381.457,10801720.47,0.53587588,,,,
SOV-USDT,1643871600,15.053,716029.084,4.7,27727.74538,5629.487632,6239799.234,716029.084,8.714449418,,,,
SUTER-USDT,1643871600,0.0081447,2814890821,0.002869,27676.45008,9099314.195,16322208.71,2814890821,0.005798523,,,,
XSR-USDT,1643871600,0.000764,16638602089,0.000282,27182.74178,77695366.54,9124177.333,16638602089,0.000548374,,,,
BAKE-USDT,1643871600,1.806,6012069.174,0.5227,27063.21829,42614.42077,6702971.514,6012069.174,1.114919227,,,,
LOC-USDT,1643871600,3.60103,1295549.189,1.99172,26624.22109,10969.31551,3709714.584,1295549.189,2.863430132,,,,
2CRZ-USDT,1643871600,0.0369,397991652.5,0.0111,26618.70309,1867248.877,9044654.448,397991652.5,0.022725739,,,,
MLN-USDT,1643871600,125.478,166434.6994,50,26346.65879,477.6482597,15440003.76,166434.6994,92.76913898,,,,
NGC-USDT,1643871600,2.2819,34830148.97,0.35,26345.66291,51921.03945,35672046.14,34830148.97,1.024171507,,,,
AURY-USDT,1643871600,16.929,1461410.338,8.581,25640.90512,2828.816425,19229321.9,1461410.338,13.15805794,,,,
MSWAP-USDT,1643871600,0.00253,1619191392,0.00109,25613.9595,19760959.02,3105854.166,1619191392,0.001918151,,,,
STMX-USDT,1643871600,0.03578,559558455,0.0111,25167.89821,1686044.975,12671741.11,559558455,0.022645965,,,,
STC-USDT,1643871600,0.00832,2417950257,0.00384,24601.19367,5187492.867,13289603.74,2417950257,0.005496227,,,,
TRU-USDT,1643871600,0.5027,39197226.93,0.153,24586.91162,131029.9773,13263404.71,39197226.93,0.338376098,,,,
SFP-USDT,1643871600,2.5532,5160604.641,0.6412,23548.20884,28874.46619,7883285.365,5160604.641,1.527589481,,,,
EFX-USDT,1643871600,0.0311,332300594.2,0.01332,23515.90001,1634504.41,6841253.826,332300594.2,0.020587546,,,,
TKO-USDT,1643871600,1.8391,3618183.629,0.6375,20776.36379,28376.37861,4238251.506,3618183.629,1.171375458,,,,
BURP-USDT,1643871600,0.089,78704675.45,0.019,18650.03033,717227.2043,4215524.728,78704675.45,0.0535613,,,,
PERP-USDT,1643871600,13.358,688860.0794,3,18589.06478,3071.601292,5907828.724,688860.0794,8.576239067,,,,
APL-USDT,1643871600,0.00375,2375165296,0.0018,18326.21862,9673693.483,6695274.274,2375165296,0.002818867,,,,
DPI-USDT,1643871600,335.48,6025.976252,130.84,18187.76665,96.27478322,1440363.022,6025.976252,239.0256718,,,,
BASIC-USDT,1643871600,0.00923,2584392501,0.00353,17918.73944,3816817.796,18208850.05,2584392501,0.007045698,,,,
HORD-USDT,1643871600,0.23189,57368150.65,0.04779,17476.50272,283777.2105,6821561.763,57368150.65,0.118908518,,,,
PROM-USDT,1643871600,18.874,354634.0853,8.1,17192.35512,1827.647535,4751944.752,354634.0853,13.39957141,,,,
ORBS-USDT,1643871600,0.114,23510168.18,0.0518,16774.23907,254539.2095,1868417.695,23510168.18,0.079472749,,,,
LOKI-USDT,1643871600,0.76119,5050353.883,0.44108,16529.59016,34564.94599,2928108.918,5050353.883,0.579782919,,,,
GOM2-USDT,1643871600,0.06552,433537227.5,0.01399,16225.96559,456269.8061,13547001.38,433537227.5,0.031247608,,,,
EOSC-USDT,1643871600,0.021572,374614490.1,0.00702,15923.30809,1910170.152,5640424.909,374614490.1,0.015056612,,,,
COV-USDT,1643871600,0.79,4798486.809,0.3815,15635.2395,38324.19232,2894680.024,4798486.809,0.603248511,,,,
PIVX-USDT,1643871600,0.8349,6231607.656,0.2798,15495.22987,50858.02052,3040808.302,6231607.656,0.4879653,,,,
LOVE-USDT,1643871600,0.0142,1292622068,0.0005,15464.82028,3437049.241,11487137.58,1292622068,0.008886695,,,,
KAT-USDT,1643871600,0.004691,1452230092,0.001569,13584.64004,7256729.237,4362205.019,1452230092,0.003003797,,,,
GHST-USDT,1643871600,2.8246,3672826.937,1.8,13501.13746,6716.465918,8644076.021,3672826.937,2.353521189,,,,
CBC-USDT,1643871600,0.126581,341956148.2,0.033923,13070.536,305451.7736,25781927.07,341956148.2,0.075395419,,,,
ALPACA-USDT,1643871600,0.7815,9456758.62,0.2517,12931.11261,35808.87589,5026425.766,9456758.62,0.531516767,,,,
ALPHA-USDT,1643871600,1.08,12427414.91,0.346,12866.40869,33953.91629,8605725.758,12427414.91,0.692479154,,,,
ORC-USDT,1643871600,0.5966,8541643.011,0.2717,12809.36892,42837.54974,4345616.688,8541643.011,0.508756533,,,,
ATA-USDT,1643871600,1.0908,10163445.81,0.337,12740.49803,32672.02193,6613138.008,10163445.81,0.65067873,,,,
TKY-USDT,1643871600,0.001077,7866488721,0.000295,12691.10226,37663859.38,5159995.113,7866488721,0.000655946,,,,
LYM-USDT,1643871600,0.017254,939238076.5,0.002386,11704.0243,3247450.692,5823194.708,939238076.5,0.006199913,,,,
VSYS-USDT,1643871600,0.02461,156190568.6,0.01092,11532.20664,896901.2905,2902552.626,156190568.6,0.018583405,,,,
BAL-USDT,1643871600,20.645,392362.1817,10.42,11327.65564,940.3575962,6513342.372,392362.1817,16.60033173,,,,
ZEE-USDT,1643871600,0.562,48563458.06,0.1044,10838.40836,84185.02248,13854115.57,48563458.06,0.285278605,,,,
LNCHX-USDT,1643871600,0.276,98639698.47,0.0695,10835.19521,122580.9579,13657228.81,98639698.47,0.138455703,,,,
GO-USDT,1643871600,0.04672,93816848.4,0.016226,10400.36472,504968.9958,3238774.569,93816848.4,0.034522313,,,,
NU-USDT,1643871600,0.9007,7853958.041,0.4001,9816.333195,20157.63154,5317746.804,7853958.041,0.677078586,,,,
JAR-USDT,1643871600,0.012371,519995157.5,0.003033,9567.850273,2536669.48,4007422.452,519995157.5,0.007706653,,,,
LIKE-USDT,1643871600,0.5286,10853362.82,0.1289,9554.861729,70571.81679,3401683.498,10853362.82,0.313422075,,,,
NDAU-USDT,1643871600,27.063,153089.7722,14.505,7918.432959,335.9665893,3097584.255,153089.7722,20.23377663,,,,
WSIENNA-USDT,1643871600,19.6999,646842.9354,6.7741,7677.992683,1084.652551,7831983.683,646842.9354,12.10801456,,,,
XVS-USDT,1643871600,22.956,249131.2033,6.64,7365.040838,931.58014,3657666.096,249131.2033,14.68168598,,,,
ASD-USDT,1643871600,0.4107,4477528.015,0.2391,7297.98032,29314.84176,1396025.984,4477528.015,0.31178498,,,,
TRB-USDT,1643871600,51.99,187542.7805,16.613,6969.251713,339.7608793,6062875.216,187542.7805,32.32795844,,,,
MEM-USDT,1643871600,0.2434,36803731.52,0.0633,6777.399658,92128.13812,5141620.224,36803731.52,0.139703775,,,,
SUSD-USDT,1643871600,1.017619,2589742.567,0.981777,4589.347878,4616.896623,2593625.952,2589742.567,1.001499526,,,,
WNXM-USDT,1643871600,75.132,36204.52879,32.785,3045.73967,88.5467,2090984.394,36204.52879,57.75477445,,,,
UNIC-USDT,1643871600,192.81,46544.82517,65.36,2122.449886,30.78904356,6709117.612,46544.82517,144.1431478,,,,
SWP-USDT,1643871600,2.7707,9059491.367,1.5204,1392.00638,842.3498057,16179995.6,9059491.367,1.785971744,,,,
